fund_house,scheme_type,scheme_category,scheme_code,scheme_name
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,113080,ICICI Prudential Medium Term Bond Fund Plan A - Weekly Dividend
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,113136,ICICI Prudential Medium Term Bond Fund Plan C - Quarterly Dividend
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,112016,Aditya Birla Sun Life Savings Fund - Discipline Advantage Plan
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,119501,Aditya Birla Sun Life Savings Fund - Growth - Direct Plan
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,101317,Aditya Birla Sun Life Savings Fund - Growth - Regular Plan
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,119500,Aditya Birla Sun Life Savings Fund-DIRECT - DAILY IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,119499,Aditya Birla Sun Life Savings Fund-DIRECT - WEEKLY IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,105888,Aditya Birla Sun Life Savings Fund-Regular - DAILY IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,105887,Aditya Birla Sun Life Savings Fund-Regular - weekly IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,109108,Aditya Birla Sun Life Savings Fund-Retail - Daily IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,101316,Aditya Birla Sun Life Savings Fund-Retail Growth
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,105881,Aditya Birla Sun Life Savings Fund-Weekly - retail IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144753,Axis Ultra Short Term Fund - Direct Plan - Daily IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144755,Axis Ultra Short Term Fund - Direct Plan - Monthly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144756,Axis Ultra Short Term Fund - Direct Plan - Regular IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144757,Axis Ultra Short Term Fund - Direct Plan - Weekly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144754,Axis Ultra Short Term Fund - Direct Plan Growth
Axis Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144758,Axis Ultra Short Term Fund - Regular Plan - Daily IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144760,Axis Ultra Short Term Fund - Regular Plan - Monthly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144761,Axis Ultra Short Term Fund - Regular Plan - Regular IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144762,Axis Ultra Short Term Fund - Regular Plan - Weekly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144759,Axis Ultra Short Term Fund - Regular Plan Growth
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144195,BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN -MONTHLY IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144173,BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN GROWTH
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144196,BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN PERIODIC IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144192,BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN QUARTERLY IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144191,BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN- WEEKLY IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144174,BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN-DAILY IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144172,BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN DAILY IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144171,BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN GROWTH
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144194,BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN MONTHLY IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144193,BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN PERIODIC IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144190,BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN QUARTERLY IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,144189,BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN WEEKLY IDCW
Bank of India Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,119380,BANK OF INDIA Ultra Short Duration Fund- Direct Plan- Daily IDCW
