fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Invesco Mutual Fund,Equity scheme,Equity Scheme - Contra Fund,120348,Invesco India Contra Fund - Direct Plan - Growth
Invesco Mutual Fund,Equity scheme,Equity Scheme - Contra Fund,120349,Invesco India Contra Fund - Direct Plan - IDCW (Payout / Reinvestment)
Invesco Mutual Fund,Equity scheme,Equity Scheme - Contra Fund,105460,Invesco India Contra Fund - Growth
Invesco Mutual Fund,Equity scheme,Equity Scheme - Contra Fund,105459,Invesco India Contra Fund - IDCW (Payout / Reinvestment)
Kotak Mahindra Mutual Fund,Equity scheme,Equity Scheme - Contra Fund,103040,Kotak India EQ Contra Fund - Growth
Kotak Mahindra Mutual Fund,Equity scheme,Equity Scheme - Contra Fund,119769,Kotak India EQ Contra Fund - Growth - Direct
Kotak Mahindra Mutual Fund,Equity scheme,Equity Scheme - Contra Fund,103039,Kotak India EQ Contra Fund - Payout of Income Distribution cum capital withdrawal option
Kotak Mahindra Mutual Fund,Equity scheme,Equity Scheme - Contra Fund,119768,Kotak India EQ Contra Fund - Payout of Income Distribution cum capital withdrawal option- Direct
SBI Mutual Fund,Equity scheme,Equity Scheme - Contra Fund,119835,SBI CONTRA FUND - DIRECT PLAN - GROWTH
SBI Mutual Fund,Equity scheme,Equity Scheme - Contra Fund,119724,SBI Contra Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
SBI Mutual Fund,Equity scheme,Equity Scheme - Contra Fund,100915,SBI Contra Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
SBI Mutual Fund,Equity scheme,Equity Scheme - Contra Fund,102414,SBI CONTRA FUND - REGULAR PLAN -GROWTH
