fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Aditya Birla Sun Life Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,119507,Aditya Birla Sun Life Dividend Yield Fund - Growth - Direct Plan
Aditya Birla Sun Life Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,101738,Aditya Birla Sun Life Dividend Yield Fund - Growth - Regular Plan
Aditya Birla Sun Life Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,119506,Aditya Birla Sun Life Dividend Yield Fund -DIRECT - IDCW
Aditya Birla Sun Life Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,101737,Aditya Birla Sun Life Dividend Yield Fund -REGULAR - IDCW
Franklin Templeton Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,118527,Templeton India Equity Income Fund - Direct - Growth
Franklin Templeton Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,118526,Templeton India EQUITY INCOME FUND - Direct - IDCW 
Franklin Templeton Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,103679,Templeton India EQUITY INCOME FUND - IDCW 
Franklin Templeton Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,103678,Templeton India Equity Income Fund-Growth Plan
HDFC Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,148609,HDFC Dividend Yield Fund - Growth Option Direct Plan
HDFC Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,148610,HDFC Dividend Yield Fund - Growth Plan
HDFC Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,148608,HDFC Dividend Yield Fund - IDCW Option Direct Plan
HDFC Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,148611,HDFC Dividend Yield Fund - IDCW Plan
ICICI Prudential Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,129312,ICICI Prudential Dividend Yield Equity Fund Direct Plan Growth Option
ICICI Prudential Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,129309,ICICI Prudential Dividend Yield Equity Fund Direct Plan IDCW Option
ICICI Prudential Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,129310,ICICI Prudential Dividend Yield Equity Fund Growth Option
ICICI Prudential Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,129311,ICICI Prudential Dividend Yield Equity Fund IDCW Option
LIC Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,152022,LIC MF Dividend Yield Fund-Direct Plan-Growth
LIC Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,152021,LIC MF Dividend Yield Fund-Direct Plan-IDCW
LIC Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,152019,LIC MF Dividend Yield Fund-Regular Plan-Growth
LIC Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,152020,LIC MF Dividend Yield Fund-Regular Plan-IDCW
SBI Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,151478,SBI Dividend Yield Fund - Direct Plan - Growth
SBI Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,151475,SBI Dividend Yield Fund - Direct Plan - Income Distribution cum Capital Withdrawal (IDCW) Option
SBI Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,151476,SBI Dividend Yield Fund - Regular Plan - Growth
SBI Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,151477,SBI Dividend Yield Fund - Regular Plan - Income Distribution cum Capital Withdrawal (IDCW) Option
Sundaram Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,149700,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund) - Direct Plan - Growth Option
Sundaram Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,149699,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund)- Direct Plan - Half Yearly Income Distribution CUM Capital Withdrawal Option
Sundaram Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,149698,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund)- Half Yearly Income Distribution CUM Capital Withdrawal Plan
Sundaram Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,149697,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund)-Growth Plan
Tata Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,148947,Tata Dividend Yield Fund-Direct Plan-Growth
Tata Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,148952,Tata Dividend Yield Fund-Direct Plan-IDCW Payout
Tata Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,148951,Tata Dividend Yield Fund-Direct Plan-IDCW Reinvestment
Tata Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,148948,Tata Dividend Yield Fund-Regular Plan-Growth
Tata Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,148950,Tata Dividend Yield Fund-Regular Plan-IDCW Payout
Tata Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,148949,Tata Dividend Yield Fund-Regular Plan-IDCW Reinvestment
UTI Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,120750,UTI Dividend Yield Fund - Direct Plan - IDCW
UTI Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,103025,UTI Dividend Yield Fund - Regular Plan - IDCW
UTI Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,103026,UTI-Dividend Yield Fund.-Growth
UTI Mutual Fund,Equity scheme,Equity Scheme - Dividend Yield Fund,120749,UTI-Dividend Yield Fund.-Growth-Direct
