fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Aditya Birla Sun Life Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,119620,Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan
Aditya Birla Sun Life Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,119619,Aditya Birla Sun Life Midcap Fund -DIRECT - IDCW
Aditya Birla Sun Life Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,101591,Aditya Birla Sun Life Midcap Fund -REGULAR - IDCW
Aditya Birla Sun Life Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,101592,Aditya Birla Sun Life MIDCAP Fund-Growth
Axis Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,120505,Axis Midcap Fund - Direct Plan - Growth
Axis Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,120504,Axis Midcap Fund - Direct Plan - IDCW
Axis Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,114564,Axis Midcap Fund - Regular Plan - Growth
Axis Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,114565,Axis Midcap Fund - Regular Plan - IDCW
Bandhan Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,150404,BANDHAN MIDCAP FUND - GROWTH - DIRECT PLAN
Bandhan Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,150402,BANDHAN MIDCAP FUND - GROWTH - REGULAR PLAN
Bandhan Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,150401,BANDHAN MIDCAP FUND - IDCW - DIRECT PLAN
Bandhan Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,150403,BANDHAN MIDCAP FUND - IDCW - REGULAR PLAN
Bank of India Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,139527,BANK OF INDIA MID & SMALL CAP EQUITY & DEBT FUND - DIRECT PLAN GROWTH
Bank of India Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,139530,BANK OF INDIA MID & SMALL CAP EQUITY & DEBT FUND - DIRECT PLAN IDCW
Bank of India Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,139529,BANK OF INDIA MID & SMALL CAP EQUITY & DEBT FUND - REGULAR  PLAN  GROWTH
Bank of India Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,139528,BANK OF INDIA MID & SMALL CAP EQUITY & DEBT FUND - REGULAR  PLAN IDCW
Baroda BNP Paribas Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,150212,BARODA BNP PARIBAS Mid Cap Fund - Direct Plan - Growth Option
Baroda BNP Paribas Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,150211,BARODA BNP PARIBAS Mid Cap Fund - Direct Plan - IDCW Option
Baroda BNP Paribas Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,150209,BARODA BNP PARIBAS Mid Cap Fund - Regular Plan - Growth Option
Baroda BNP Paribas Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,150210,BARODA BNP PARIBAS Mid Cap Fund - Regular Plan - IDCW Option
Canara Robeco Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,150817,Canara Robeco Mid Cap Fund- Direct Plan- Growth Option
Canara Robeco Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,150818,Canara Robeco Mid Cap Fund- Direct Plan- IDCW
Canara Robeco Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,150816,Canara Robeco Mid Cap Fund- Regular Plan- Growth Option
Canara Robeco Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,150819,Canara Robeco Mid Cap Fund- Regular Plan- IDCW
DSP Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,119071,DSP Midcap Fund - Direct Plan - Growth
DSP Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,119070,DSP Midcap Fund - Direct Plan - IDCW
DSP Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,104481,DSP Midcap Fund - Regular Plan - Growth
DSP Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,104482,DSP Midcap Fund - Regular Plan - IDCW
Edelweiss Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,140228,Edelweiss Mid Cap Fund - Direct Plan - Growth Option
Edelweiss Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,140227,Edelweiss Mid Cap Fund - Direct Plan - IDCW Option
Edelweiss Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,140225,Edelweiss Mid Cap Fund - Regular Plan - Growth Option
Edelweiss Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,140226,Edelweiss Mid Cap Fund - Regular Plan - IDCW Option
Franklin Templeton Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,118533,Franklin India Prima Fund - Direct - Growth
Franklin Templeton Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,118532,Franklin India PRIMA FUND - Direct - IDCW 
Franklin Templeton Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,100472,Franklin India PRIMA FUND - IDCW 
Franklin Templeton Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,100473,Franklin India Prima Fund-Growth
HDFC Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,118989,HDFC Mid-Cap Opportunities Fund - Growth Option - Direct Plan
HDFC Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,105758,HDFC Mid-Cap Opportunities Fund - Growth Plan
HDFC Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,118988,HDFC Mid-Cap Opportunities Fund - IDCW Option - Direct Plan
HDFC Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,105757,HDFC Mid-Cap Opportunities Fund - IDCW Plan
HSBC Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,151036,HSBC Midcap Fund - Direct Growth
HSBC Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,151035,HSBC Midcap Fund - Direct IDCW
HSBC Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,151034,HSBC Midcap Fund - Regular Growth
HSBC Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,151033,HSBC Midcap Fund - Regular IDCW
Invesco Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,120403,Invesco India Midcap Fund - Direct Plan - Growth Option
Invesco Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,120402,Invesco India Midcap Fund - Direct Plan - IDCW (Payout / Reinvestment)
Invesco Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,105503,Invesco India Midcap Fund - Growth Option
Invesco Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,105504,Invesco India Midcap Fund - IDCW (Payout / Reinvestment)
ITI Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,148733,ITI Mid Cap Fund - Direct Plan - Growth Option
ITI Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,148731,ITI Mid Cap Fund - Direct Plan - IDCW Option
ITI Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,148732,ITI Mid Cap Fund - Regular Plan - Growth Option
ITI Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,148734,ITI Mid Cap Fund - Regular Plan - IDCW Option
JM Financial Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,150815,JM Midcap Fund (Direct) - Growth
JM Financial Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,150814,JM Midcap Fund (Direct) - IDCW
JM Financial Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,150812,JM Midcap Fund (Regular) - Growth
JM Financial Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,150813,JM Midcap Fund (Regular) - IDCW
Kotak Mahindra Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,104908,Kotak Emerging Equity Scheme - Growth
Kotak Mahindra Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,119775,Kotak Emerging Equity Scheme - Growth - Direct
Kotak Mahindra Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,104907,Kotak Emerging Equity Scheme - Payout of Income Distribution cum capital withdrawal option
Kotak Mahindra Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,119774,Kotak Emerging Equity Scheme - Payout of Income Distribution cum capital withdrawal option - Direct
LIC Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,152002,LIC MF Mid Cap Fund-Direct Plan-Growth
LIC Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,151999,LIC MF Mid Cap Fund-Direct Plan-IDCW
LIC Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,152001,LIC MF Mid Cap Fund-Regular Plan-Growth
LIC Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,152000,LIC MF Mid Cap Fund-Regular Plan-IDCW
Mahindra Manulife Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,142108,Mahindra Manulife Mid Cap Fund - Direct Plan - IDCW
Mahindra Manulife Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,142110,Mahindra Manulife Mid Cap Fund - Direct Plan -Growth
Mahindra Manulife Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,142109,Mahindra Manulife Mid Cap Fund - Regular Plan - Growth
Mahindra Manulife Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,142107,Mahindra Manulife Mid Cap Fund- Regular Plan - IDCW
Mirae Asset Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,147479,Mirae Asset Midcap Fund - Regular Plan-Growth Option
Mirae Asset Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,147478,Mirae Asset Midcap Fund Direct IDCW
Mirae Asset Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,147480,Mirae Asset Midcap Fund Regular IDCW
Mirae Asset Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,147445,Mirae Asset Midcap Fund- Direct Growth Option
Motilal Oswal Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,127044,Motilal Oswal Midcap Fund-Direct - IDCW Payout/Reinvestment
Motilal Oswal Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,127042,Motilal Oswal Midcap Fund-Direct Plan-Growth Option
Motilal Oswal Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,127040,Motilal Oswal Midcap Fund-Regular - IDCW Payout/Reinvestment
Motilal Oswal Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,127039,Motilal Oswal Midcap Fund-Regular Plan-Growth Option
Nippon India Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,118666,NIPPON INDIA GROWTH FUND - DIRECT Plan - IDCW Option
Nippon India Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,118665,Nippon India Growth Fund - Direct Plan Growth Plan - Bonus Option
Nippon India Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,118668,Nippon India Growth Fund - Direct Plan Growth Plan - Growth Option
Nippon India Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,100375,NIPPON INDIA GROWTH FUND - IDCW Option
Nippon India Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,106260,NIPPON INDIA GROWTH FUND - INSTITUTIONAL Plan - IDCW Option
Nippon India Mutual Fund,Equity scheme,Equity Scheme - Mid Cap Fund,100376,Nippon India Growth Fund-Growth Plan-Bonus Option
