fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Aditya Birla Sun Life Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,148921,Aditya Birla Sun Life Multi-Cap Fund-Direct Growth
Aditya Birla Sun Life Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,148920,Aditya Birla Sun Life Multi-Cap Fund-Direct IDCW Payout
Aditya Birla Sun Life Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,148918,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth
Aditya Birla Sun Life Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,148919,Aditya Birla Sun Life Multi-Cap Fund-Regular-IDCW Payout
Axis Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,149383,Axis Multicap Fund - Direct Growth
Axis Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,149384,Axis Multicap Fund - Direct Plan - IDCW
Axis Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,149382,Axis Multicap Fund - Regular Plan - Growth
Axis Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,149387,Axis Multicap Fund - Regular Plan - IDCW
Bandhan Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,149303,BANDHAN MULTI CAP FUND - GROWTH - DIRECT PLAN
Bandhan Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,149305,BANDHAN MULTI CAP FUND - GROWTH - REGULAR PLAN
Bandhan Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,149304,BANDHAN MULTI CAP FUND - IDCW - DIRECT PLAN
Bandhan Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,149302,BANDHAN MULTI CAP FUND - IDCW - REGULAR PLAN
Bank of India Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,151443,Bank of India Multi Cap Fund Direct Plan - Growth
Bank of India Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,151444,Bank of India Multi Cap Fund Direct Plan - IDCW
Bank of India Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,151445,Bank of India Multi Cap Fund Regular Plan - Growth
Bank of India Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,151446,Bank of India Multi Cap Fund Regular Plan - IDCW
Baroda BNP Paribas Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,119354,Baroda BNP Paribas MULTI CAP FUND - Direct Plan - Growth Option
Baroda BNP Paribas Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,119353,Baroda BNP Paribas MULTI CAP FUND - Direct Plan - IDCW Option
Baroda BNP Paribas Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,102020,Baroda BNP Paribas MULTI CAP FUND - Regular Plan - Growth Option
Baroda BNP Paribas Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,102021,Baroda BNP Paribas MULTI CAP FUND - Regular Plan - IDCW Option
Canara Robeco Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,151824,Canara Robeco Multi Cap Fund - Direct Plan - Growth Option
Canara Robeco Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,151822,Canara Robeco Multi Cap Fund - Direct Plan - IDCW Option
Canara Robeco Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,151821,Canara Robeco Multi Cap Fund - Regular Plan - Growth Option
Canara Robeco Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,151823,Canara Robeco Multi Cap Fund - Regular Plan - IDCW Option
Edelweiss Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,152094,Edelweiss Multi Cap Fund - Direct Plan - Growth
Edelweiss Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,152093,Edelweiss Multi Cap Fund - Direct Plan - IDCW
Edelweiss Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,152095,Edelweiss Multi Cap Fund - Regular Plan - Growth
Edelweiss Mutual Fund,Equity scheme,Equity Scheme - Multi Cap Fund,152096,Edelweiss Multi Cap Fund - Regular Plan - IDCW
