fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Aditya Birla Sun Life Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,105804,Aditya Birla Sun Life Small Cap Fund - GROWTH
Aditya Birla Sun Life Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,119556,Aditya Birla Sun Life Small Cap Fund - Growth - Direct Plan
Aditya Birla Sun Life Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,119557,Aditya Birla Sun Life Small Cap Fund -Direct - IDCW
Aditya Birla Sun Life Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,105805,Aditya Birla Sun Life Small Cap Fund -Regular - IDCW
Axis Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,125354,Axis Small Cap Fund - Direct Plan - Growth
Axis Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,125351,Axis Small Cap Fund - Direct Plan - IDCW
Axis Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,125350,Axis Small Cap Fund - Regular Plan - Growth
Axis Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,125352,Axis Small Cap Fund - Regular Plan - IDCW
Bandhan Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,147946,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH
Bandhan Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,147943,BANDHAN SMALL CAP FUND - DIRECT PLAN IDCW
Bandhan Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,147944,BANDHAN SMALL CAP FUND - REGULAR PLAN GROWTH
Bandhan Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,147945,BANDHAN SMALL CAP FUND - REGULAR PLAN IDCW
Bank of India Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,145678,BANK OF INDIA Small Cap Fund Direct Plan Growth
Bank of India Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,145675,BANK OF INDIA Small Cap Fund Direct Plan IDCW
Bank of India Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Bank of India Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,145676,BANK OF INDIA Small Cap Fund Regular Plan IDCW
Baroda BNP Paribas Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,152128,Baroda BNP Paribas Small Cap Fund - Direct Plan - Growth option
Baroda BNP Paribas Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,152129,Baroda BNP Paribas Small Cap Fund - Direct Plan - IDCW option
Baroda BNP Paribas Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,152130,Baroda BNP Paribas Small Cap Fund - Regular Plan - Growth option
Baroda BNP Paribas Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,152131,Baroda BNP Paribas Small Cap Fund - Regular Plan - IDCW option
Canara Robeco Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,146130,CANARA ROBECO SMALL CAP FUND - DIRECT PLAN - GROWTH OPTION
Canara Robeco Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,146131,CANARA ROBECO SMALL CAP FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)
Canara Robeco Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,146127,CANARA ROBECO SMALL CAP FUND - REGULAR PLAN - GROWTH OPTION
Canara Robeco Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,146128,CANARA ROBECO SMALL CAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)
DSP Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,119212,DSP Small Cap Fund - Direct Plan - Growth
DSP Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,119213,DSP Small Cap Fund - Direct Plan - IDCW
DSP Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,105989,DSP Small Cap Fund - Regular - Growth
DSP Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,113153,DSP Small Cap Fund - Regular - IDCW
Edelweiss Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,146196,Edelweiss Small Cap Fund - Direct Plan - Growth
Edelweiss Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,146197,Edelweiss Small Cap Fund - Direct Plan - IDCW Option
Edelweiss Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,146193,Edelweiss Small Cap Fund - Regular Plan - Growth
Edelweiss Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,146194,Edelweiss Small Cap Fund - Regular Plan - IDCW Option
Franklin Templeton Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,118525,Franklin India Smaller Companies Fund - Direct - Growth
Franklin Templeton Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,118524,Franklin India Smaller Companies Fund - Direct - IDCW 
Franklin Templeton Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,103361,Franklin India Smaller Companies Fund - IDCW 
Franklin Templeton Mutual Fund,Equity scheme,Equity Scheme - Small Cap Fund,103360,Franklin India Smaller Companies Fund-Growth
