fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Aditya Birla Sun Life Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,120550,Aditya Birla Sun Life Regular Savings Fund - DIRECT - MONTHLY IDCW
Aditya Birla Sun Life Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,120705,Aditya Birla Sun Life Regular Savings Fund - Growth / Payment - Direct Plan
Aditya Birla Sun Life Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,101818,Aditya Birla Sun Life Regular Savings Fund - Growth / Payment - Regular Plan
Aditya Birla Sun Life Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,101816,Aditya Birla Sun Life Regular Savings Fund - REGULAR - MONTHLY IDCW
Axis Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,120477,Axis Regular Saver Fund - Direct Plan - Annual IDCW
Axis Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,120478,Axis Regular Saver Fund - Direct Plan - Half Yearly
Axis Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,120479,Axis Regular Saver Fund - Direct Plan - Quarterly
Axis Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,112927,Axis Regular Saver Fund - Regular Plan - Annual IDCW
Axis Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,112924,Axis Regular Saver Fund - Regular Plan - Growth Option
Axis Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,112926,Axis Regular Saver Fund - Regular Plan - Half Yearly IDCW
Axis Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,112925,Axis Regular Saver Fund - Regular Plan - Quarterly IDCW
Axis Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,120480,Axis Regular Saver Fund- Direct Plan - Growth Option
Bandhan Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,112353,BANDHAN Regular Savings Fund - Regular Plan - Growth
Bandhan Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,112352,BANDHAN Regular Savings Fund - Regular Plan - IDCW
Bandhan Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,113361,BANDHAN Regular Savings Fund - Regular Plan - Quarterly IDCW
Bandhan Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,118491,BANDHAN Regular Savings Fund-Direct Plan-Growth
Bandhan Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,118490,BANDHAN Regular Savings Fund-Direct Plan-IDCW
Bandhan Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,118492,BANDHAN Regular Savings Fund-Direct Plan-Quarterly IDCW
Baroda BNP Paribas Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,150206,BARODA BNP PARIBAS Conservative Hybrid Fund - Direct Plan - Growth Option
Baroda BNP Paribas Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,150207,BARODA BNP PARIBAS Conservative Hybrid Fund - Direct Plan - Monthly IDCW Option
Baroda BNP Paribas Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,150208,BARODA BNP PARIBAS Conservative Hybrid Fund - Direct Plan - Quarterly IDCW Option
Baroda BNP Paribas Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,150203,BARODA BNP PARIBAS Conservative Hybrid Fund-Regular Plan-Growth Option
Baroda BNP Paribas Mutual Fund,Hybrid scheme,Hybrid Scheme - Conservative Hybrid Fund,150204,BARODA BNP PARIBAS Conservative hybrid Fund-Regular Plan-Monthly IDCW Option
