fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Aditya Birla Sun Life Mutual Fund,Hybrid scheme,Hybrid Scheme - Equity Savings,132996,Aditya Birla Sun Life Equity Savings Fund - Direct - IDCW
Aditya Birla Sun Life Mutual Fund,Hybrid scheme,Hybrid Scheme - Equity Savings,132995,Aditya Birla Sun Life Equity Savings Fund - Direct Plan - Growth
Aditya Birla Sun Life Mutual Fund,Hybrid scheme,Hybrid Scheme - Equity Savings,132997,Aditya Birla Sun Life Equity Savings Fund - Regular - IDCW
Aditya Birla Sun Life Mutual Fund,Hybrid scheme,Hybrid Scheme - Equity Savings,132998,Aditya Birla Sun Life Equity Savings Fund - Regular Plan - Growth
Axis Mutual Fund,Hybrid scheme,Hybrid Scheme - Equity Savings,135120,Axis Equity Saver Fund - Direct Plan - Growth
Axis Mutual Fund,Hybrid scheme,Hybrid Scheme - Equity Savings,135121,Axis Equity Saver Fund - Direct Plan - Monthly IDCW
Axis Mutual Fund,Hybrid scheme,Hybrid Scheme - Equity Savings,135124,Axis Equity Saver Fund - Direct Plan - Quarterly IDCW
Axis Mutual Fund,Hybrid scheme,Hybrid Scheme - Equity Savings,139520,Axis Equity Saver Fund - Direct Plan - Regular IDCW
Axis Mutual Fund,Hybrid scheme,Hybrid Scheme - Equity Savings,135122,Axis Equity Saver Fund - Regular Plan - Growth
Axis Mutual Fund,Hybrid scheme,Hybrid Scheme - Equity Savings,135123,Axis Equity Saver Fund - Regular Plan - Monthly IDCW
Axis Mutual Fund,Hybrid scheme,Hybrid Scheme - Equity Savings,135125,Axis Equity Saver Fund - Regular Plan - Quarterly IDCW
Axis Mutual Fund,Hybrid scheme,Hybrid Scheme - Equity Savings,139521,Axis Equity Saver Fund - Regular Plan - Regular IDCW
Bandhan Mutual Fund,Hybrid scheme,Hybrid Scheme - Equity Savings,108995,BANDHAN Equity Savings Fund - Regular Plan - Growth
Bandhan Mutual Fund,Hybrid scheme,Hybrid Scheme - Equity Savings,108992,BANDHAN Equity Savings Fund - Regular Plan - Monthly IDCW
Bandhan Mutual Fund,Hybrid scheme,Hybrid Scheme - Equity Savings,133682,BANDHAN Equity Savings Fund - Regular Plan -Annual IDCW
IDFC Mutual Fund,Hybrid scheme,Hybrid Scheme - Equity Savings,108994,IDFC Equity Savings Fund -B-GROWTH
Bandhan Mutual Fund,Hybrid scheme,Hybrid Scheme - Equity Savings,143259,BANDHAN Equity Savings Fund- Regular Plan -Quarterly IDCW
