fund_house,scheme_type,scheme_category,scheme_code,scheme_name
ICICI Prudential Mutual Fund,Others,1,126677,ICICI Prudential Equity Savings Fund - Series 1  - Dividend
ICICI Prudential Mutual Fund,Others,1,126675,ICICI Prudential Equity Savings Fund - Series 1 - Cumulative
ICICI Prudential Mutual Fund,Others,1,126676,ICICI Prudential Equity Savings Fund - Series 1 Direct Plan - Cumulative
ICICI Prudential Mutual Fund,Others,1,126678,ICICI Prudential Equity Savings Fund - Series 1 Direct Plan - Dividend
ICICI Prudential Mutual Fund,Others,1,131545,ICICI Prudential Growth Fund - Series 4 Direct Dividend
ICICI Prudential Mutual Fund,Others,1,131546,ICICI Prudential Growth Fund - Series 4 Dividend
ICICI Prudential Mutual Fund,Others,1,133128,ICICI Prudential Growth Fund - Series 5 Direct Dividend
ICICI Prudential Mutual Fund,Others,1,133129,ICICI Prudential Growth Fund - Series 5 Dividend
ICICI Prudential Mutual Fund,Others,1,133274,ICICI Prudential Growth Fund - Series 6  Dividend
ICICI Prudential Mutual Fund,Others,1,133275,ICICI Prudential Growth Fund - Series 6 Direct Dividend
ICICI Prudential Mutual Fund,Others,1,133425,ICICI Prudential Growth Fund - Series 7  Dividend
ICICI Prudential Mutual Fund,Others,1,133426,ICICI Prudential Growth Fund - Series 7 Direct Dividend
ICICI Prudential Mutual Fund,Others,1,133468,ICICI Prudential Growth Fund - Series 8  Dividend
ICICI Prudential Mutual Fund,Others,1,133467,ICICI Prudential Growth Fund - Series 8 Direct Dividend
ICICI Prudential Mutual Fund,Others,1,133965,ICICI Prudential India Recovery Fund - Series 1 Direct Dividend
ICICI Prudential Mutual Fund,Others,1,133966,ICICI Prudential India Recovery Fund - Series 1 Dividend
ICICI Prudential Mutual Fund,Others,1,134043,ICICI Prudential India Recovery Fund - Series 2 Direct Dividend
ICICI Prudential Mutual Fund,Others,1,134042,ICICI Prudential India Recovery Fund - Series 2 Dividend
ICICI Prudential Mutual Fund,Others,1,135323,ICICI Prudential India Recovery Fund - Series 3 Cumulative Option
ICICI Prudential Mutual Fund,Others,1,135322,ICICI Prudential India Recovery Fund - Series 3 Direct Plan Cumulative Option
ICICI Prudential Mutual Fund,Others,1,135216,ICICI Prudential India Recovery Fund - Series 3 Direct Plan Dividend Option
ICICI Prudential Mutual Fund,Others,1,135217,ICICI Prudential India Recovery Fund - Series 3 Dividend Option
ICICI Prudential Mutual Fund,Others,1,134192,ICICI Prudential Value Fund - Series 6  Cumulative Option
ICICI Prudential Mutual Fund,Others,1,134191,ICICI Prudential Value Fund - Series 6  Dividend Option
ICICI Prudential Mutual Fund,Others,1,134189,ICICI Prudential Value Fund - Series 6 Direct Plan Cumulative Option
ICICI Prudential Mutual Fund,Others,1,134190,ICICI Prudential Value Fund - Series 6 Direct Plan Dividend Option
ICICI Prudential Mutual Fund,Others,1,134657,ICICI Prudential Value Fund - Series 7 Direct Plan Dividend Option
ICICI Prudential Mutual Fund,Others,1,134656,ICICI Prudential Value Fund - Series 7 Dividend Option
ICICI Prudential Mutual Fund,Others,1,115768,ICICI Prudential Capital Protection Oriented Fund - Series V - 60 Months - Cumulative
ICICI Prudential Mutual Fund,Others,1,115767,ICICI Prudential Capital Protection Oriented Fund - Series V - 60 Months - Dividend
ICICI Prudential Mutual Fund,Others,1,130181,ICICI Prudential Capital Protection Oriented Fund Series VI -1100 Days Plan B Cumulative Option
ICICI Prudential Mutual Fund,Others,1,130183,ICICI Prudential Capital Protection Oriented Fund Series VI- 1100 Days Plan B Direct Plan Cumulative option
ICICI Prudential Mutual Fund,Others,1,130182,ICICI Prudential Capital Protection Oriented Fund Series VI- 1100 Days Plan B Direct Plan Dividend Option
ICICI Prudential Mutual Fund,Others,1,130184,ICICI Prudential Capital Protection Oriented Fund Series VI- 1100 Days Plan B Dividend Option
