fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Kotak Mahindra Mutual Fund,Others,1100 Days,135048,Kotak FMP Series 176 - Direct Plan - Growth
Kotak Mahindra Mutual Fund,Others,1100 Days,135050,Kotak FMP Series 176 - Regular Plan - Dividend
Kotak Mahindra Mutual Fund,Others,1100 Days,135047,Kotak FMP Series 176 - Regular Plan - Growth
Kotak Mahindra Mutual Fund,Others,1100 Days,135237,Kotak FMP Series 178 - Direct Growth
Kotak Mahindra Mutual Fund,Others,1100 Days,135236,Kotak FMP Series 178 - Regular Dividend
Kotak Mahindra Mutual Fund,Others,1100 Days,135239,Kotak FMP Series 178 - Regular Growth
Kotak Mahindra Mutual Fund,Others,1100 Days,135374,Kotak FMP Series 179 - Direct Dividend
Kotak Mahindra Mutual Fund,Others,1100 Days,135375,Kotak FMP Series 179 - Direct Growth
Kotak Mahindra Mutual Fund,Others,1100 Days,135373,Kotak FMP Series 179 - Regular Dividend
Kotak Mahindra Mutual Fund,Others,1100 Days,135372,Kotak FMP Series 179 - Regular Growth
