fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Kotak Mahindra Mutual Fund,Others,1194 DAYS,134568,Kotak India Gorwth Fund - Series I - Direct Plan - Dividend
Kotak Mahindra Mutual Fund,Others,1194 DAYS,134567,Kotak India Gorwth Fund - Series I - Direct Plan - Growth
Kotak Mahindra Mutual Fund,Others,1194 DAYS,134566,Kotak India Gorwth Fund - Series I - Regular Plan - Dividend
Kotak Mahindra Mutual Fund,Others,1194 DAYS,134565,Kotak India Gorwth Fund - Series I - Regular Plan - Growth
Reliance Mutual Fund,Others,1194 DAYS,133883,Reliance Capital Builder Fund II - Series C - Direct Plan - Dividend Payout Option
Reliance Mutual Fund,Others,1194 DAYS,133882,Reliance Capital Builder Fund II - Series C - Direct Plan - Growth Option
Reliance Mutual Fund,Others,1194 DAYS,133885,Reliance Capital Builder Fund II - Series C - Dividend Payout Option
Reliance Mutual Fund,Others,1194 DAYS,133884,Reliance Capital Builder Fund II - Series C - Growth Option
Reliance Mutual Fund,Others,1194 DAYS,133131,Reliance Capital Builder Fund II- Series A- Direct Plan-Dividend Payout Option
Reliance Mutual Fund,Others,1194 DAYS,133132,Reliance Capital Builder Fund II- Series A- Direct Plan-Growth Option
Reliance Mutual Fund,Others,1194 DAYS,133133,Reliance Capital Builder Fund II- Series A- Dividend Payout Option
Reliance Mutual Fund,Others,1194 DAYS,133134,Reliance Capital Builder Fund II- Series A- Growth Option
Reliance Mutual Fund,Others,1194 DAYS,134772,Reliance Capital Builder Fund III - Series A - Direct Plan - Dividend Payout Option
Reliance Mutual Fund,Others,1194 DAYS,134773,Reliance Capital Builder Fund III - Series A - Direct Plan - Growth Option
Reliance Mutual Fund,Others,1194 DAYS,134775,Reliance Capital Builder Fund III - Series A - Dividend Payout Option
Reliance Mutual Fund,Others,1194 DAYS,134774,Reliance Capital Builder Fund III - Series A - Growth Option
Reliance Mutual Fund,Others,1194 DAYS,130652,Reliance Capital Builder Fund- Series A- Direct Plan- Dividend Payout Opotion
Reliance Mutual Fund,Others,1194 DAYS,130651,Reliance Capital Builder Fund- Series A- Direct Plan- Growth Option
Reliance Mutual Fund,Others,1194 DAYS,130650,Reliance Capital Builder Fund- Series A- Dividend Payout Option
Reliance Mutual Fund,Others,1194 DAYS,130653,Reliance Capital Builder Fund- Series A- Growth Option
Reliance Mutual Fund,Others,1194 DAYS,131272,Reliance Capital Builder Fund- Series C- Direct Plan- Dividend Payout Option
Reliance Mutual Fund,Others,1194 DAYS,131271,Reliance Capital Builder Fund- Series C- Direct Plan- Growth Option
Reliance Mutual Fund,Others,1194 DAYS,131269,Reliance Capital Builder Fund- Series C- Dividend Payout Option
Reliance Mutual Fund,Others,1194 DAYS,131270,Reliance Capital Builder Fund- Series C- Growth Option
Reliance Mutual Fund,Others,1194 DAYS,125273,Reliance Close Ended Equity Fund - Series A - Direct Plan - Dividend Payout Option
Reliance Mutual Fund,Others,1194 DAYS,125271,Reliance Close Ended Equity Fund - Series A - Direct Plan - Growth Option
Reliance Mutual Fund,Others,1194 DAYS,125272,Reliance Close Ended Equity Fund - Series A - Dividend Payout Option
Reliance Mutual Fund,Others,1194 DAYS,125270,Reliance Close Ended Equity Fund - Series A - Growth Option
