fund_house,scheme_type,scheme_category,scheme_code,scheme_name
ICICI Prudential Mutual Fund,Others,Gilt,120606,ICICI Prudential Gilt Fund Investment Plan PF Option - Direct Plan - Half Yearly Dividend
ICICI Prudential Mutual Fund,Others,Gilt,120605,ICICI Prudential Gilt Fund Investment Plan PF Option - Direct Plan -Growth Option
ICICI Prudential Mutual Fund,Others,Gilt,102060,ICICI Prudential Gilt Fund Investment Plan PF Option - Growth
ICICI Prudential Mutual Fund,Others,Gilt,118019,ICICI Prudential Gilt Fund Investment Plan PF Option - Half Yearly Dividend
ICICI Prudential Mutual Fund,Others,Gilt,130901,ICICI Prudential Gilt Investment PF Option - Bonus
ICICI Prudential Mutual Fund,Others,Gilt,130954,ICICI Prudential Gilt Investment PF Option - Direct Plan Bonus
ICICI Prudential Mutual Fund,Others,Gilt,120612,ICICI Prudential Gilt Fund Treasury Plan PF Option - Direct Plan - Half Yearly Dividend
ICICI Prudential Mutual Fund,Others,Gilt,120610,ICICI Prudential Gilt Fund Treasury Plan PF Option - Direct Plan - Quarterly Dividend
ICICI Prudential Mutual Fund,Others,Gilt,120611,ICICI Prudential Gilt Fund Treasury Plan PF Option - Direct Plan -Growth Option
ICICI Prudential Mutual Fund,Others,Gilt,102248,ICICI Prudential Gilt Fund Treasury Plan PF Option - Growth
ICICI Prudential Mutual Fund,Others,Gilt,118023,ICICI Prudential Gilt Fund Treasury Plan PF Option - Half Yearly Dividend
ICICI Prudential Mutual Fund,Others,Gilt,118022,ICICI Prudential Gilt Fund Treasury Plan PF Option - Quarterly Dividend
ICICI Prudential Mutual Fund,Others,Gilt,130905,ICICI Prudential Gilt Treasury PF Option - Bonus
