fund_house,scheme_type,scheme_category,scheme_code,scheme_name
ICICI Prudential Mutual Fund,Others,IDF,127615,IIFCL MUTUAL FUND INFRASTRUCTURE DEBT FUND SERIES I
ICICI Prudential Mutual Fund,Others,IDF,141615,IIFCL MUTUAL FUND INFRASTRUCTURE DEBT FUND SERIES II
IDFC Mutual Fund,Others,IDF,130565,IL&FS Infrastructure Debt Fund Series 1A - Dividend payout option
IDFC Mutual Fund,Others,IDF,129287,IL&FS Infrastructure Debt Fund Series 1A - Growth
ICICI Prudential Mutual Fund,Others,IDF,129288,IL&FS Infrastructure Debt Fund Series 1C - Growth
ICICI Prudential Mutual Fund,Others,IDF,130567,IL&FS Infrastructure Debt Fund Series 1C- Dividend Payout Option
IDFC Mutual Fund,Others,IDF,142700,IL&FS Infrastructure Debt Fund Series 3A - Dividend payout option - Direct
IDFC Mutual Fund,Others,IDF,142701,IL&FS Infrastructure Debt Fund Series 3A - Growth - Direct
IDFC Mutual Fund,Others,IDF,142702,IL&FS Infrastructure Debt Fund Series 3A - Growth - Regular
ICICI Prudential Mutual Fund,Others,IDF,143397,IL&FS Infrastructure Debt Fund Series 3B - Dividend payout option
ICICI Prudential Mutual Fund,Others,IDF,143396,IL&FS Infrastructure Debt Fund Series 3B - Growth - Direct
IDFC Mutual Fund,Others,IDF,130566,IL&FS Infrastructure Debt Fund Series 1B - Dividend Payout
IDFC Mutual Fund,Others,IDF,129286,IL&FS Infrastructure Debt Fund Series 1B - Growth
Kotak Mahindra Mutual Fund,Others,IDF,136284,Kotak Capital Protection Oriented Scheme Series 3 - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,136287,Kotak Capital Protection Oriented Scheme Series 3 Regular Dividend Payout
Kotak Mahindra Mutual Fund,Others,IDF,136286,Kotak Capital Protection Oriented Scheme Series 3 Regular Growth
Kotak Mahindra Mutual Fund,Others,IDF,139361,Kotak Capital Protection Oriented Scheme - Series 4 - Direct Dividend
Kotak Mahindra Mutual Fund,Others,IDF,139362,Kotak Capital Protection Oriented Scheme - Series 4 - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,139359,Kotak Capital Protection Oriented Scheme - Series 4 - Regular Dividend
Kotak Mahindra Mutual Fund,Others,IDF,139360,Kotak Capital Protection Oriented Scheme - Series 4 - Regular Growth
Kotak Mahindra Mutual Fund,Others,IDF,123793,Kotak FMP Series 113 (1094 Days)  - Direct Dividend
Kotak Mahindra Mutual Fund,Others,IDF,123792,Kotak FMP Series 113 (1094 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,123791,Kotak FMP Series 113 (1094 Days) - Dividend
Kotak Mahindra Mutual Fund,Others,IDF,123790,Kotak FMP Series 113 (1094 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,123971,Kotak FMP Series 115 (370 Days) - Direct Dividend
Kotak Mahindra Mutual Fund,Others,IDF,123973,Kotak FMP Series 115 (370 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,123970,Kotak FMP Series 115 (370 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,124034,Kotak FMP Series 116 (370 Days) - Direct Dividend
Kotak Mahindra Mutual Fund,Others,IDF,124036,Kotak FMP Series 116 (370 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,124035,Kotak FMP Series 116 (370 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,124037,Kotak FMP Series 116 (370 Days)- Dividend
Kotak Mahindra Mutual Fund,Others,IDF,126052,Kotak FMP Series 131 (1061 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,126054,Kotak FMP Series 131 (1061 Days) - Dividend
Kotak Mahindra Mutual Fund,Others,IDF,126053,Kotak FMP Series 131 (1061 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,126283,Kotak FMP Series 132 (546 Days) - Direct Dividend
