fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Kotak Mahindra Mutual Fund,Others,Income,123688,Kotak Banking and PSU Debt - Annual Dividend
Kotak Mahindra Mutual Fund,Others,Income,123858,Kotak Banking and PSU Debt - Daily Dividend Reinvestment
Kotak Mahindra Mutual Fund,Others,Income,123859,Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment
Kotak Mahindra Mutual Fund,Others,Income,123689,Kotak Banking and PSU Debt Direct - Annual Dividend
Kotak Mahindra Mutual Fund,Others,Income,133777,Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option
SBI Mutual Fund,Others,Income,102061,SBI MAGNUM GILT FUND -  GROWTH - PF (Fixed Period - 1 Yr) Option
SBI Mutual Fund,Others,Income,101933,SBI MAGNUM GILT FUND -  GROWTH - PF (Fixed Period - 2 Yrs) Option
IDFC Mutual Fund,Others,Income,108694,IDFC Cash Fund - Inst Plan B - Periodic Div
ICICI Prudential Mutual Fund,Others,Income,101753,ICICI Prudential Liquid Fund - Institutional - Weekly - Div
SBI Mutual Fund,Others,Income,106224,SBI Short Horizon Debt Fund - Ultra Short Term Fund - Institutional Plan - Monthly Dividend
SBI Mutual Fund,Others,Income,106223,SBI Short Horizon Debt Fund -Ultra Short Term Fund - Institutional Plan - Fortnightly Dividend
ICICI Prudential Mutual Fund,Others,Income,130945,ICICI Prudential Money Market Fund -Bonus
IDFC Mutual Fund,Others,Income,108716,IDFC Bond Fund - Short Term Plan - Plan B - Fortnightly Dividend
IDFC Mutual Fund,Others,Income,108714,IDFC Bond Fund - Short Term Plan - Plan C  - Fortnightly Dividend
IDFC Mutual Fund,Others,Income,108717,IDFC Bond Fund - Short Term Plan - Plan C  - Growth
IDFC Mutual Fund,Others,Income,108718,IDFC Bond Fund - Short Term Plan - Plan C  - Monthly Dividend
IDFC Mutual Fund,Others,Income,108719,IDFC Bond Fund - Short Term Plan - Plan D - Growth
IDFC Mutual Fund,Others,Income,108720,IDFC Bond Fund - Short Term Plan - Plan D - Monthly Dividend
IDFC Mutual Fund,Others,Income,108715,IDFC Bond Fund - Short Term Plan - Plan D- Fortnightly Dividend
IDFC Mutual Fund,Others,Income,108844,IDFC Arbitrage Fund - Plan B - Dividend
IDFC Mutual Fund,Others,Income,108846,IDFC Arbitrage Fund - Plan B - Growth
IDFC Mutual Fund,Others,Income,108993,IDFC Equity Savings Fund -B-DIVIDEND
ICICI Prudential Mutual Fund,Others,Income,103062,ICICI Prudential Blended Plan B -  Dividend Option - I
ICICI Prudential Mutual Fund,Others,Income,103061,ICICI Prudential Blended Plan B -  Growth Option - I
ICICI Prudential Mutual Fund,Others,Income,114376,ICICI Prudential Blended Plan B -  Monthly Dividend Option - I
ICICI Prudential Mutual Fund,Others,Income,114238,ICICI Prudential Blended Plan B - Daily Dividend Option - I
ICICI Prudential Mutual Fund,Others,Income,120302,ICICI Prudential Blended Plan B - Direct Plan -  Dividend Option - I
ICICI Prudential Mutual Fund,Others,Income,120300,ICICI Prudential Blended Plan B - Direct Plan -  Growth Option - I
ICICI Prudential Mutual Fund,Others,Income,120301,ICICI Prudential Blended Plan B - Direct Plan -  Monthly Dividend Option - I
ICICI Prudential Mutual Fund,Others,Income,131150,ICICI Prudential Blended Plan B - Direct Plan - Half Yearly Dividend Option - I
ICICI Prudential Mutual Fund,Others,Income,123542,ICICI Prudential Blended Plan B - Direct Plan - Quarterly Dividend Option - I
ICICI Prudential Mutual Fund,Others,Income,131149,ICICI Prudential Blended Plan B - Half Yearly Dividend Option - I
ICICI Prudential Mutual Fund,Others,Income,132979,ICICI Prudential Blended Plan B - option I-Bonus
ICICI Prudential Mutual Fund,Others,Income,120303,ICICI Prudential Blended Plan B-Direct Plan -  Daily Dividend Option - I
ICICI Prudential Mutual Fund,Others,Income,101098,ICICI Prudential Child Care Plan Study - Cumulative
ICICI Prudential Mutual Fund,Others,Income,120691,ICICI Prudential Child Care Plan Study - Direct Plan- Cumulative
ICICI Prudential Mutual Fund,Others,Income,131621,ICICI Prudential Dynamic Bond Fund - Annual Dividend
ICICI Prudential Mutual Fund,Others,Income,122613,ICICI Prudential Dynamic Bond Fund - Bonus
ICICI Prudential Mutual Fund,Others,Income,113055,ICICI Prudential Dynamic Bond Fund - Daily Dividend
ICICI Prudential Mutual Fund,Others,Income,120584,ICICI Prudential Dynamic Bond Fund - Direct Plan -  Daily Dividend
ICICI Prudential Mutual Fund,Others,Income,120582,ICICI Prudential Dynamic Bond Fund - Direct Plan -  Growth
ICICI Prudential Mutual Fund,Others,Income,120581,ICICI Prudential Dynamic Bond Fund - Direct Plan -  Half Yearly Dividend
ICICI Prudential Mutual Fund,Others,Income,120580,ICICI Prudential Dynamic Bond Fund - Direct Plan -  Monthly Dividend
ICICI Prudential Mutual Fund,Others,Income,131620,ICICI Prudential Dynamic Bond Fund - Direct Plan - Annual Dividend
ICICI Prudential Mutual Fund,Others,Income,131199,ICICI Prudential Dynamic Bond Fund - Direct Plan - Bonus Option
ICICI Prudential Mutual Fund,Others,Income,120583,ICICI Prudential Dynamic Bond Fund - Direct Plan - Quarterly Dividend
ICICI Prudential Mutual Fund,Others,Income,111996,ICICI Prudential Dynamic Bond Fund - Growth
ICICI Prudential Mutual Fund,Others,Income,112005,ICICI Prudential Dynamic Bond Fund - Half Yearly Dividend
ICICI Prudential Mutual Fund,Others,Income,111997,ICICI Prudential Dynamic Bond Fund - Monthly Dividend
ICICI Prudential Mutual Fund,Others,Income,112002,ICICI Prudential Dynamic Bond Fund - Premium Plus Growth
ICICI Prudential Mutual Fund,Others,Income,111998,ICICI Prudential Dynamic Bond Fund - Quarterly Dividend
ICICI Prudential Mutual Fund,Others,Income,106290,ICICI Prudential Interval Fund - Annual Interval Plan I - Retail Dividend
ICICI Prudential Mutual Fund,Others,Income,106292,ICICI Prudential Interval Fund - Annual Interval Plan I - Retail Growth
ICICI Prudential Mutual Fund,Others,Income,130958,ICICI Prudential Interval Fund Annual Interval Plan - I - Direct Plan Bonus
ICICI Prudential Mutual Fund,Others,Income,106291,ICICI Prudential Interval Fund Annual Interval Plan I -  Growth
ICICI Prudential Mutual Fund,Others,Income,120625,ICICI Prudential Interval Fund Annual Interval Plan I - Direct Plan -  Growth
ICICI Prudential Mutual Fund,Others,Income,106293,ICICI Prudential Interval Fund Annual Interval Plan I - Dividend
ICICI Prudential Mutual Fund,Others,Income,106762,ICICI Prudential Interval Fund - Annual Interval Plan II - Retail Dividend
ICICI Prudential Mutual Fund,Others,Income,106763,ICICI Prudential Interval Fund - Annual Interval Plan II - Retail Growth
ICICI Prudential Mutual Fund,Others,Income,120627,ICICI Prudential Interval Fund Annual Interval Plan II - Direct Plan -  Growth
ICICI Prudential Mutual Fund,Others,Income,106760,ICICI Prudential Interval Fund Annual Interval Plan II - Dividend
ICICI Prudential Mutual Fund,Others,Income,106761,ICICI Prudential Interval Fund Annual Interval Plan II - Growth
ICICI Prudential Mutual Fund,Others,Income,106778,ICICI Prudential Interval Fund - Annual Interval Plan III - Retail Dividend
ICICI Prudential Mutual Fund,Others,Income,106777,ICICI Prudential Interval Fund - Annual Interval Plan III - Retail Growth
ICICI Prudential Mutual Fund,Others,Income,120629,ICICI Prudential Interval Fund Annual Interval Plan III - Direct Plan -  Growth
ICICI Prudential Mutual Fund,Others,Income,106780,ICICI Prudential Interval Fund Annual Interval Plan III - Dividend
ICICI Prudential Mutual Fund,Others,Income,106779,ICICI Prudential Interval Fund Annual Interval Plan III - Growth
ICICI Prudential Mutual Fund,Others,Income,106832,ICICI Prudential Interval Fund - Annual Interval Plan IV - Retail Dividend
