fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Index Funds,150702,Aditya Birla Sun Life Crisil IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Direct Growth
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Index Funds,150704,Aditya Birla Sun Life Crisil IBX 50:50 Gilt Plus SDL APR 2028 Index Fund-Direct IDCW
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Index Funds,150703,Aditya Birla Sun Life Crisil IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Regular Growth
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Index Funds,150705,Aditya Birla Sun Life Crisil IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Regular IDCW
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Index Funds,150938,Aditya Birla Sun Life Crisil IBX 60:40 SDL + AAA PSU APR 2026 Index Fund-Direct Growth
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Index Funds,150939,Aditya Birla Sun Life Crisil IBX 60:40 SDL+ AAA PSU APR 2026 Index Fund-Direct IDCW Payout
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Index Funds,150936,Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU APR 2026 Index Fund-Regular Growth
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Index Funds,150937,Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU APR 2026 Index Fund-Regular IDCW Payout
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Index Funds,150357,Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-APR 2025 Index Fund-Direct Growth
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Index Funds,150355,Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-APR 2025 Index Fund-Direct IDCW
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Index Funds,150354,Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-APR 2025 Index Fund-Regular Growth
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Index Funds,150356,Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-APR 2025 Index Fund-Regular IDCW
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Index Funds,150353,Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund-Direct Growth
