fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Other  ETFs,151533,Aditya Birla Sun Life CRISIL Liquid Overnight ETF - IDCW Daily Reinvestment with Weekly Payout
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Other  ETFs,150498,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Other  ETFs,150497,Aditya Birla Sun Life Nifty 200 Quality 30 ETF
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Other  ETFs,115512,Aditya Birla Sun Life Nifty ETF
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Other  ETFs,147735,Aditya Birla Sun Life Nifty Bank ETF
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Other  ETFs,149262,Aditya Birla Sun Life Nifty Healthcare ETF
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Other  ETFs,149293,Aditya Birla Sun Life Nifty IT ETF
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Other  ETFs,145881,Aditya Birla Sunlife Nifty Next 50 ETF
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Other  ETFs,139581,Aditya Birla Sun Life S&P BSE Sensex ETF
Aditya Birla Sun Life Mutual Fund,Others,Other Scheme - Other  ETFs,149779,Aditya Birla Sun Life Silver ETF
Axis Mutual Fund,Others,Other Scheme - Other  ETFs,141545,Axis Nifty 50 ETF
Axis Mutual Fund,Others,Other Scheme - Other  ETFs,148926,Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF
Axis Mutual Fund,Others,Other Scheme - Other  ETFs,148559,Axis NIFTY Bank ETF
Axis Mutual Fund,Others,Other Scheme - Other  ETFs,148934,Axis NIFTY Healthcare ETF
Axis Mutual Fund,Others,Other Scheme - Other  ETFs,149156,Axis NIFTY India Consumption ETF
Axis Mutual Fund,Others,Other Scheme - Other  ETFs,148799,Axis IT ETF
Axis Mutual Fund,Others,Other Scheme - Other  ETFs,151585,Axis S & P BSE Sensex ETF
Axis Mutual Fund,Others,Other Scheme - Other  ETFs,150610,Axis Silver ETF
Bandhan Mutual Fund,Others,Other Scheme - Other  ETFs,139839,BANDHAN Nifty 50 ETF
Bandhan Mutual Fund,Others,Other Scheme - Other  ETFs,139840,BANDHAN S&P BSE Sensex ETF
DSP Mutual Fund,Others,Other Scheme - Other  ETFs,142589,DSP NIFTY 1D Rate Liquid ETF - IDCW - Daily Reinvest
DSP Mutual Fund,Others,Other Scheme - Other  ETFs,149286,DSP Nifty 50 Equal Weight ETF
DSP Mutual Fund,Others,Other Scheme - Other  ETFs,149392,DSP Nifty 50 ETF
DSP Mutual Fund,Others,Other Scheme - Other  ETFs,151262,DSP Nifty Bank ETF
DSP Mutual Fund,Others,Other Scheme - Other  ETFs,151820,DSP Nifty IT ETF
DSP Mutual Fund,Others,Other Scheme - Other  ETFs,149403,DSP Nifty Midcap 150 Quality 50 ETF
DSP Mutual Fund,Others,Other Scheme - Other  ETFs,151887,DSP Nifty Private Bank ETF
DSP Mutual Fund,Others,Other Scheme - Other  ETFs,151888,DSP Nifty PSU Bank ETF
DSP Mutual Fund,Others,Other Scheme - Other  ETFs,151886,DSP S&P BSE Sensex ETF
DSP Mutual Fund,Others,Other Scheme - Other  ETFs,150523,DSP Silver ETF
Edelweiss Mutual Fund,Others,Other Scheme - Other  ETFs,147849,Bharat Bond ETF - April 2030
Edelweiss Mutual Fund,Others,Other Scheme - Other  ETFs,149398,BHARAT Bond ETF - April 2032
Edelweiss Mutual Fund,Others,Other Scheme - Other  ETFs,150987,BHARAT Bond ETF - April 2033
Edelweiss Mutual Fund,Others,Other Scheme - Other  ETFs,148444,BHARAT Bond ETF April 2025
Edelweiss Mutual Fund,Others,Other Scheme - Other  ETFs,148445,BHARAT Bond ETF- April 2031
Edelweiss Mutual Fund,Others,Other Scheme - Other  ETFs,152212,Edelweiss Silver ETF
HDFC Mutual Fund,Others,Other Scheme - Other  ETFs,150476,HDFC NIFTY 100 ETF - Growth Option
HDFC Mutual Fund,Others,Other Scheme - Other  ETFs,135853,HDFC NIFTY 50 ETF - Growth Plan
HDFC Mutual Fund,Others,Other Scheme - Other  ETFs,148461,HDFC NIFTY Bank ETF - GROWTH
HDFC Mutual Fund,Others,Other Scheme - Other  ETFs,150621,HDFC NIFTY GROWTH SECTORS 15 ETF - Growth Option
HDFC Mutual Fund,Others,Other Scheme - Other  ETFs,150801,HDFC NIFTY IT ETF - Growth option
HDFC Mutual Fund,Others,Other Scheme - Other  ETFs,151374,HDFC NIFTY Midcap 150 ETF - Growth Option
HDFC Mutual Fund,Others,Other Scheme - Other  ETFs,150477,HDFC NIFTY NEXT 50 ETF - Growth Option
HDFC Mutual Fund,Others,Other Scheme - Other  ETFs,150802,HDFC NIFTY Private Bank ETF - Growth Option
HDFC Mutual Fund,Others,Other Scheme - Other  ETFs,151375,HDFC NIFTY Smallcap 250 ETF - Growth Option
HDFC Mutual Fund,Others,Other Scheme - Other  ETFs,150658,HDFC NIFTY100 Low Volatility 30 ETF - Growth Option
HDFC Mutual Fund,Others,Other Scheme - Other  ETFs,150620,HDFC NIFTY100 QUALITY 30 ETF - Growth Option
HDFC Mutual Fund,Others,Other Scheme - Other  ETFs,150657,HDFC NIFTY200 MOMENTUM 30 ETF - Growth Option
HDFC Mutual Fund,Others,Other Scheme - Other  ETFs,150619,HDFC NIFTY 50 VALUE 20 ETF - Growth Option
HDFC Mutual Fund,Others,Other Scheme - Other  ETFs,151376,HDFC S&P BSE 500 ETF - Growth Option
HDFC Mutual Fund,Others,Other Scheme - Other  ETFs,135854,HDFC S&P BSE Sensex ETF - Growth Plan
HDFC Mutual Fund,Others,Other Scheme - Other  ETFs,150556,HDFC Silver ETF - Growth Option
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,141957,BHARAT 22 ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,151196,ICICI Prudential Nifty 10 yr Benchmark G-sec ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,123004,ICICI Prudential Nifty 100 ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,141596,ICICI Prudential Nifty 100 Low Volatility 30 ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,150455,ICICI Prudential Nifty 200 Momentum 30 ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,151907,ICICI Prudential Nifty 200 Quality 30 ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,149928,ICICI Prudential Nifty 5 yr Benchmark G-SEC ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,121366,ICICI Prudential Nifty 50 ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,148456,ICICI Prudential Nifty Alpha Low- Volatility 30 ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,149463,ICICI Prudential Nifty Auto ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,147483,ICICI Prudential Nifty Bank ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,151207,ICICI Prudential Nifty Commodities ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,150879,ICICI Prudential Nifty Financial Services Ex-BaNk ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,149072,ICICI Prudential Nifty FMCG ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,148957,ICICI Prudential Nifty Healthcare ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,149285,ICICI Prudential Nifty India Consumption ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,150526,ICICI Prudential Nifty Infrastructure ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,148466,ICICI Prudential Nifty IT ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,147921,ICICI Prudential Nifty Midcap 150 ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,144587,ICICI Prudential Nifty Next 50 ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,147530,ICICI Prudential Nifty Private Bank ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,151572,ICICI Prudential Nifty PSU Bank ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,139455,ICICI Prudential Nifty50 Value 20 ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,143247,ICICI Prudential S&P BSE 500 ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,144947,ICICI Prudential S&P BSE Liquid Rate ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,139519,ICICI Prudential S&P BSE Midcap Select ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,101705,ICICI Prudential S&P BSE Sensex ETF
ICICI Prudential Mutual Fund,Others,Other Scheme - Other  ETFs,149464,ICICI PRUDENTIAL SILVER ETF
Invesco Mutual Fund,Others,Other Scheme - Other  ETFs,115284,Invesco India Nifty 50 Exchange Traded Fund
Kotak Mahindra Mutual Fund,Others,Other Scheme - Other  ETFs,150000,Kotak Nifty 100 Low Volatility 30 ETF
Kotak Mahindra Mutual Fund,Others,Other Scheme - Other  ETFs,151358,Kotak Nifty 1D Rate Liquid ETF
Kotak Mahindra Mutual Fund,Others,Other Scheme - Other  ETFs,112351,Kotak Nifty 50 ETF
