fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Aditya Birla Sun Life Mutual Fund,Others,Solution Oriented Scheme - Retirement Fund,146576,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct - Payout of IDCW
Aditya Birla Sun Life Mutual Fund,Others,Solution Oriented Scheme - Retirement Fund,146575,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth
Aditya Birla Sun Life Mutual Fund,Others,Solution Oriented Scheme - Retirement Fund,146574,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Regular - Payout of IDCW
Aditya Birla Sun Life Mutual Fund,Others,Solution Oriented Scheme - Retirement Fund,146577,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Regular Growth
Aditya Birla Sun Life Mutual Fund,Others,Solution Oriented Scheme - Retirement Fund,146927,Aditya Birla Sun Life Retirement Fund-The 40s Plan- Direct - Payout of IDCW
Aditya Birla Sun Life Mutual Fund,Others,Solution Oriented Scheme - Retirement Fund,146930,Aditya Birla Sun Life Retirement Fund-The 40s Plan-Direct Plan-Growth
Aditya Birla Sun Life Mutual Fund,Others,Solution Oriented Scheme - Retirement Fund,146928,Aditya Birla Sun Life Retirement Fund-The 40s Plan-Regular - Payout of IDCW
Aditya Birla Sun Life Mutual Fund,Others,Solution Oriented Scheme - Retirement Fund,146929,Aditya Birla Sun Life Retirement Fund-The 40s Plan-Regular Plan-Growth
Aditya Birla Sun Life Mutual Fund,Others,Solution Oriented Scheme - Retirement Fund,146937,Aditya Birla Sun Life Retirement Fund-The 50s Plan- Direct - Payout of IDCW
Aditya Birla Sun Life Mutual Fund,Others,Solution Oriented Scheme - Retirement Fund,146939,Aditya Birla Sun Life Retirement Fund-The 50s Plan- Regular - Payout of IDCW
Aditya Birla Sun Life Mutual Fund,Others,Solution Oriented Scheme - Retirement Fund,146940,Aditya Birla Sun Life Retirement Fund-The 50s Plan-Direct Plan-Growth
Aditya Birla Sun Life Mutual Fund,Others,Solution Oriented Scheme - Retirement Fund,146938,Aditya Birla Sun Life Retirement Fund-The 50s Plan-Regular Plan-Growth
